contig	sample1	sample10	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9
NODE_241_length_4529_cov_16.751797	15.6724100	0.0000000	7.8058319	7.0848246	3.1005080	1.7501657	1.8769605	0.1318754	0.0000000	0.0000000
NODE_242_length_4453_cov_111.035649	22.4351826	13.8377895	35.9119301	28.8737354	11.6645699	7.8528419	28.1496296	18.8674450	30.5297680	19.1161537
NODE_243_length_4426_cov_26.674178	4.3381557	1.7859403	3.7680831	5.3745480	3.1792495	1.4222423	4.1914558	2.5650995	15.2287521	3.4834991
NODE_244_length_4383_cov_11.816071	3.5222552	1.2638667	4.1002054	4.4400821	2.5256791	1.5039945	3.6288519	3.5905044	1.7007532	0.8890664
NODE_245_length_4379_cov_5.281729	5.0735664	0.0000000	2.1553576	2.1868861	0.5485492	0.6506740	0.3422436	0.1711218	0.0000000	0.0000000
NODE_246_length_4340_cov_88.873329	12.2293682	11.3185797	22.2653294	19.8296452	7.4207006	5.0463347	22.2434311	10.3658371	11.7381277	15.6901798
NODE_247_length_4206_cov_10.416566	12.5941963	0.2140818	3.2818744	5.2687917	0.3513321	0.3544244	0.6741199	0.2140818	0.2847288	0.2140818
NODE_248_length_4197_cov_9.590049	8.3902264	0.0000000	5.0283670	5.4791417	1.2128725	1.3189511	0.9294398	0.2851013	0.0000000	0.0000000
NODE_249_length_4157_cov_5.083333	3.7509024	0.1439230	2.4507823	1.5679904	0.8659446	0.8257521	1.2009627	0.2166065	0.0000000	0.0000000
NODE_250_length_4153_cov_73.934004	15.7562037	9.4401350	25.7535534	23.3425674	9.5796194	6.3779812	21.4639854	13.9920502	23.5615520	13.6622505
NODE_251_length_4111_cov_11.773922	11.5543928	0.0730105	6.8508153	4.5762959	1.7383791	1.1304454	1.0941834	0.0722804	0.0000000	0.0000000
NODE_252_length_4073_cov_56.134134	7.2284451	10.9199209	19.0690250	10.4767866	5.3262095	6.3286662	10.8619499	12.9629087	14.9137802	12.2316380
NODE_253_length_4062_cov_20.555082	6.7509851	2.1411331	5.8312807	8.6258621	2.7985222	2.9524632	4.5660100	3.3211823	8.1825123	1.1064039
NODE_254_length_4020_cov_109.107279	21.9173717	18.4641609	50.6976089	30.2814827	13.4487305	8.5072174	32.5823784	19.4024391	23.0007458	18.9049282
NODE_255_length_3982_cov_96.928297	19.3937187	14.5015078	37.6384430	27.6675873	11.2959795	8.7055273	28.1268845	20.3391953	29.4170856	17.2248745
NODE_256_length_3976_cov_10.241857	3.7717664	0.3381983	2.9370911	4.4743333	0.9811273	0.1887267	1.3543030	0.3774534	7.6127329	1.5075490
NODE_257_length_3960_cov_26.238218	5.9663973	1.2478524	6.0424457	7.8716521	3.1440122	1.2867610	4.0512886	3.4749873	17.4709454	4.8792319
