v_idx, sample, gene, unitig, mask, mask_degen, haplos, X, X_est, R2, tau
269,7,COG0100,7,1.0,1.0,0_2,18.995777027027028,17.027514932909632,4.877537730246823,0.03752874765373066
269,8,COG0100,7,1.0,1.0,0_2,30.05726351351351,26.42066351775205,15.443419405326317,0.0197568757831448
269,9,COG0100,7,1.0,1.0,0_2,19.590202702702705,18.048504882090555,3.399314538446468,0.03621710731716852
267,0,COG0100,3,1.0,1.0,0_2,20.572722972972972,13.105278837085717,56.43737251221778,0.03415827618572135
267,1,COG0100,3,1.0,1.0,0_2,13.764474324324324,10.1023547693689,13.790916384364882,0.05160727671576427
267,2,COG0100,3,1.0,1.0,0_2,18.352601351351353,25.396704496478005,51.579614292434506,0.03900705982300758
267,3,COG0100,3,1.0,1.0,0_2,25.308858108108108,18.995728837206364,41.10080849437726,0.02588527934112827
267,4,COG0100,3,1.0,1.0,0_2,6.586236486486487,7.461607907095244,1.0120274537872098,0.08120537875285536
267,5,COG0100,3,1.0,1.0,0_2,2.923097972972973,5.293133427861068,5.758967657378122,0.1030963138896243
267,6,COG0100,3,1.0,1.0,0_2,18.426574324324328,17.773611704589893,1.460007255009987,0.03883382266470647
267,7,COG0100,3,1.0,1.0,0_2,9.435330405405407,12.276624993346198,8.652073412191388,0.06767990265128596
267,8,COG0100,3,1.0,1.0,0_2,24.642790540540545,19.048967889686487,32.589281342553804,0.02690198179810332
267,9,COG0100,3,1.0,1.0,0_2,16.05850675675676,13.012747214002628,9.86779363145904,0.044824552898413875
268,0,COG0100,5,1.0,1.0,1,9.935750675675676,6.2330208370372135,14.261119465862711,0.06556866860431057
268,1,COG0100,5,1.0,1.0,1,4.730278378378379,1.8456844175525755,8.555593704195699,0.0915866243216195
268,2,COG0100,5,1.0,1.0,1,6.134252027027027,10.641718666085328,21.365511871415908,0.08360983217512062
268,3,COG0100,5,1.0,1.0,1,12.484479729729731,8.933918628385578,13.469428144762666,0.05587480955118735
268,4,COG0100,5,1.0,1.0,1,5.74546418918919,2.912751747387483,8.266857328146594,0.08574018680458884
268,5,COG0100,5,1.0,1.0,1,5.1838641891891895,1.4533977777466105,14.059938320255227,0.08892249462072062
268,6,COG0100,5,1.0,1.0,1,13.95325135135135,7.4831940521257065,42.509098711554245,0.05100866108058017
268,7,COG0100,5,1.0,1.0,1,6.047845945945946,6.351804256433953,0.6108395309233369,0.08407826203545417
268,8,COG0100,5,1.0,1.0,1,9.374177027027029,8.74368580581034,1.221371291443653,0.06794295125654604
